policy_id,event_id,event_name,support_form,currency,minimum_amount,maximum_amount,support_rate,interest_rate_rule,interest_subsidy_rule,guarantee_fee_rule,grace_period,repayment_period,repayment_method,matching_fund_rate,eligible_expense_types,payment_method,reimbursement_delay_rule,combinability_rule,unquantifiable_conditions,source_status,source_path,source_locator,reviewed_at
POL_SEOUL_FUND_2026,SEOUL_FACILITY,시설자금,직접융자,KRW,미확인,별표3 세부사업별 상이,해당 없음,연 2.8%,해당 없음,해당 없음,별표3 세부사업별 상이,별표3 세부사업별 상이,별표3 세부사업별 상이,해당 없음,시설·입지·유통구조개선 등,대출 실행,미확인,미확인,세부사업 선택 전 단일 현금이벤트 계산 불가,공식 첨부문서 확인,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md,붙임1 시설자금·별표3,2026-08-15T23:59:00+09:00
POL_SEOUL_FUND_2026,SEOUL_GROWTH,성장기반자금,직접융자,KRW,미확인,500000000,해당 없음,연 3.0%,해당 없음,해당 없음,1년 또는 2년,총 5년 또는 2년 만기,1년거치 4년·2년거치 3년 균분 또는 2년 만기 일시,해당 없음,경영안정자금,대출 실행,미확인,미확인,실제 승인금액·실행일,공식 첨부문서 확인,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md,붙임1 성장기반자금,2026-08-15T23:59:00+09:00
POL_SEOUL_FUND_2026,SEOUL_EMERGENCY,긴급자영업자금,직접융자,KRW,미확인,50000000,해당 없음,연 2.5%,해당 없음,해당 없음,1년,총 5년,1년거치 4년 균분,해당 없음,경영안정자금,대출 실행,미확인,미확인,실제 승인금액·실행일,공식 첨부문서 확인,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md,붙임1 긴급자영업자금,2026-08-15T23:59:00+09:00
POL_SEOUL_FUND_2026,SEOUL_INNOVATION,혁신형기업도약자금,직접융자,KRW,미확인,300000000,해당 없음,연 3.0%,해당 없음,해당 없음,1년 또는 해당 없음,총 5년 또는 2년 만기,1년거치 4년 균분 또는 2년 만기 일시,해당 없음,경영안정자금,대출 실행,미확인,미확인,실제 승인금액·실행일,공식 첨부문서 확인,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md,붙임1 혁신형기업도약자금,2026-08-15T23:59:00+09:00
POL_SEOUL_FUND_2026,SEOUL_DISASTER,재해중소기업자금,직접융자,KRW,미확인,200000000,해당 없음,연 2.0%,해당 없음,해당 없음,1년 또는 해당 없음,총 5년 또는 2년 만기,1년거치 4년 균분 또는 2년 만기 일시,해당 없음,재해 복구·경영안정,대출 실행,미확인,미확인,실제 승인금액·실행일,공식 첨부문서 확인,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md,붙임1 재해중소기업자금,2026-08-15T23:59:00+09:00
POL_SEOUL_FUND_2026,SEOUL_ECONOMY,경제활성화자금,은행협력자금,KRW,미확인,500000000,해당 없음,은행 심사금리,1.8%p·대출일부터 4년 이내,해당 없음,선택형,최대 5년,"1년거치 2·3·4년 균분, 2년 만기 일시, 2년거치 3년 균분 중 선택",해당 없음,경영안정,은행 대출 실행,미확인,미확인,은행 적용금리·승인금액,공식 첨부문서 확인,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md,붙임1 경제활성화자금,2026-08-15T23:59:00+09:00
POL_SEOUL_FUND_2026,SEOUL_INCLUSIVE,포용금융자금,은행협력자금,KRW,미확인,30000000,해당 없음,은행 심사금리,1.8%p·대출일부터 4년 이내,해당 없음,1년 또는 2년,총 5년,1년거치 4년 또는 2년거치 3년 균분,해당 없음,경영안정,은행 대출 실행,미확인,미확인,은행 적용금리·승인금액,공식 첨부문서 확인,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md,붙임1 포용금융자금,2026-08-15T23:59:00+09:00
POL_SEOUL_FUND_2026,SEOUL_STARTUP,창업기업자금,은행협력자금,KRW,미확인,100000000,해당 없음,은행 심사금리,1.8%p·대출일부터 4년 이내,해당 없음,선택형,최대 5년,선택형,해당 없음,창업·임차·경영,은행 대출 실행,미확인,미확인,일반 5천만원·특화 7천만원·임차 5천만원의 세부한도 조합,공식 첨부문서 확인,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md,붙임1 창업기업자금,2026-08-15T23:59:00+09:00
POL_SEOUL_FUND_2026,SEOUL_FAST_DREAM,신속드림자금,은행협력자금,KRW,미확인,30000000,해당 없음,은행 심사금리,1.8%p·대출일부터 4년 이내,해당 없음,1년,총 5년,1년거치 4년 균분,해당 없음,경영안정,인터넷전문은행 대출 실행,미확인,미확인,카카오뱅크·케이뱅크 심사 결과,공식 첨부문서 확인,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md,붙임1 신속드림자금,2026-08-15T23:59:00+09:00
POL_SEOUL_FUND_2026,SEOUL_VULNERABLE,취약사업자지원자금,은행협력자금,KRW,미확인,50000000,해당 없음,은행 심사금리,최대 2.5%p·대출일부터 5년 이내,해당 없음,1년 또는 2년,총 5년,1년거치 4년 또는 2년거치 3년 균분,해당 없음,경영안정,은행 대출 실행,미확인,미확인,취약사업자 세부기준은 재단 별도 공고,공식 첨부문서 확인,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md,붙임1 취약사업자지원자금,2026-08-15T23:59:00+09:00
POL_SEOUL_FUND_2026,SEOUL_DELIVERY,서울배달상생자금,은행협력자금,KRW,미확인,100000000,해당 없음,은행 심사금리,2.5%p·대출일부터 5년 이내,해당 없음,1년,총 5년,1년거치 4년 균분,해당 없음,경영안정,은행 대출 실행,미확인,미확인,땡겨요 주문실적·은행 승인,공식 첨부문서 확인,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md,붙임1 서울배달상생자금,2026-08-15T23:59:00+09:00
