policy_id,rule_id,rule_group,category,operator,value,source_status,source_locator,reviewed_at,notes
POL_SEOUL_FUND_2026,FUND_ALL_01,all,region,equals,서울특별시,공식 첨부문서 확인,본문 2절,2026-08-15T23:59:00+09:00,
POL_SEOUL_FUND_2026,FUND_ALL_02,all,business_scale,in,중소기업 또는 소상공인,공식 첨부문서 확인,본문 2절·붙임1,2026-08-15T23:59:00+09:00,
POL_SEOUL_FUND_2026,FUND_EX_01,exclude,industry,in,붙임2 융자지원 제한업종,공식 첨부문서 확인,붙임2,2026-08-15T23:59:00+09:00,
POL_SEOUL_FUND_2026,FUND_VARIANT,variant,subfund,requires,세부 자금별 추가요건,공식 첨부문서 확인,붙임1,2026-08-15T23:59:00+09:00,단일 적격판정 전 하위 자금 선택 필요
POL_SEOUL_CRISIS_TRACK2_2026H2,CRISIS_ALL_01,all,region,equals,서울특별시,공식 첨부문서 확인,PDF 1쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_CRISIS_TRACK2_2026H2,CRISIS_ALL_02,all,business_place,equals,유상 임대차계약을 맺은 독점적 고정 점포,공식 첨부문서 확인,PDF 1쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_CRISIS_TRACK2_2026H2,CRISIS_ALL_03,all,business_age,>=,2년,공식 첨부문서 확인,PDF 1쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_CRISIS_TRACK2_2026H2,CRISIS_ANY_01,any,sales,decreased,2024→2025 또는 2025 상반기→하반기; 신고 완료 시 2025 하반기→2026 상반기,공식 첨부문서 확인,PDF 1쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_CRISIS_TRACK2_2026H2,CRISIS_ANY_02,any,disaster,has_document,유효한 재해중소기업 확인증 또는 피해사실확인서,공식 첨부문서 확인,PDF 1쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_CRISIS_TRACK2_2026H2,CRISIS_EX_01,exclude,status,in,휴업·폐업,공식 첨부문서 확인,PDF 2쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_CRISIS_TRACK2_2026H2,CRISIS_EX_02,exclude,prior_support,in,2025~2026 서울시 소상공인 종합지원 4개 비용지원사업,공식 첨부문서 확인,PDF 2쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_CLOSURE_2026,CLOSE_ALL_01,all,region,equals,서울특별시,공식 첨부문서 확인,PDF 2쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_CLOSURE_2026,CLOSE_ALL_02,all,status,equals,신청일 현재 영업 중인 폐업 예정자,공식 첨부문서 확인,PDF 2쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_CLOSURE_2026,CLOSE_ALL_03,all,business_age,>=,6개월,공식 첨부문서 확인,PDF 2쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_CLOSURE_2026,CLOSE_ALL_04,all,closure_date,<=,2026-10-31,공식 첨부문서 확인,PDF 2쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_CLOSURE_2026,CLOSE_EX_01,exclude,business_place,equals,자가 사업장,공식 첨부문서 확인,PDF 2쪽,2026-08-15T23:59:00+09:00,가족 소유라도 정상 임대차·지급증빙 시 예외
POL_SEOUL_CLOSURE_2026,CLOSE_EX_02,exclude,prior_support,in,2025~2026 재단 비용지원사업,공식 첨부문서 확인,PDF 3쪽,2026-08-15T23:59:00+09:00,
POL_SEOUL_DIGITAL_MIDLIFE_2026H2,DIGI_ALL_01,all,region,equals,서울특별시,공식 첨부문서 확인,PDF 1쪽,2026-08-15T23:59:00+09:00,
