example_id,policy_id,scenario,expected_status,decisive_inputs,expected_rule_ids,reason,source_path,source_locator,review_status
EX_FUND_01,POL_SEOUL_FUND_2026,서울 소재 소상공인이지만 하위 자금을 고르지 않음,추가 확인 필요,서울=yes;소상공인=yes;하위자금=모름,FUND_ALL_01;FUND_ALL_02;FUND_VARIANT,공통대상은 맞지만 하위 자금별 요건·조건이 달라 단일 적격판정 불가,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md,본문 2절·붙임1,수작업정답_구현전
EX_FUND_02,POL_SEOUL_FUND_2026,서울 소재 일반 유흥주점,부적격,서울=yes;업종=56211,FUND_EX_01,융자지원 제한업종,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md,붙임2,수작업정답_구현전
EX_CRISIS_01,POL_SEOUL_CRISIS_TRACK2_2026H2,서울 임차 점포·업력 3년·2025년 매출 감소,입력 기준 적격 후보,서울=yes;임차점포=yes;업력=3년;매출감소=yes,CRISIS_ALL_01;CRISIS_ALL_02;CRISIS_ALL_03;CRISIS_ANY_01,공개된 필수조건과 매출감소 경로 충족,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_CRISIS_TRACK2_2026H2/2026_하반기_위기_소상공인_Track2_공고.pdf,PDF 1~2쪽,수작업정답_구현전
EX_CRISIS_02,POL_SEOUL_CRISIS_TRACK2_2026H2,자가 사업장에서 영업,부적격,임차점포=no,CRISIS_ALL_02,유상 임대차계약의 고정 점포 조건 불충족,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_CRISIS_TRACK2_2026H2/2026_하반기_위기_소상공인_Track2_공고.pdf,PDF 1쪽,수작업정답_구현전
EX_CLOSE_01,POL_SEOUL_CLOSURE_2026,서울 임차 점포·업력 1년·2026년 9월 폐업 예정,입력 기준 적격 후보,서울=yes;영업중=yes;업력=1년;폐업예정=2026-09,CLOSE_ALL_01;CLOSE_ALL_02;CLOSE_ALL_03;CLOSE_ALL_04,공개된 필수조건 충족,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_CLOSURE_2026/2026_새_길_여는_폐업지원_공고.pdf,PDF 2쪽,수작업정답_구현전
EX_CLOSE_02,POL_SEOUL_CLOSURE_2026,신청 전에 이미 폐업,부적격,영업중=no,CLOSE_ALL_02,기폐업자는 지원대상이 아님,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_CLOSURE_2026/2026_새_길_여는_폐업지원_공고.pdf,PDF 2쪽,수작업정답_구현전
EX_DIGI_01,POL_SEOUL_DIGITAL_MIDLIFE_2026H2,서울 소재 만 45세·2024년 개업 소상공인,입력 기준 적격 후보,서울=yes;나이=45;개업일=2024-01-01,DIGI_ALL_01;DIGI_ALL_02;DIGI_ALL_03,공개된 필수조건 충족,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_DIGITAL_MIDLIFE_2026H2/2026_하반기_중장년_디지털전환_공고.pdf,PDF 1쪽,수작업정답_구현전
EX_DIGI_02,POL_SEOUL_DIGITAL_MIDLIFE_2026H2,대표자 만 39세,부적격,나이=39,DIGI_ALL_02,만 40세 이상 조건 불충족,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_DIGITAL_MIDLIFE_2026H2/2026_하반기_중장년_디지털전환_공고.pdf,PDF 1쪽,수작업정답_구현전
EX_ZERO_01,POL_SEOUL_ZERO_MARKET_2026_2,서울 리필스테이션 운영 소상공인,입력 기준 적격 후보,서울=yes;리필스테이션=yes;사업자등록=yes,ZERO_ALL_01;ZERO_ALL_02;ZERO_ALL_03,공개된 참여자격 충족,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_ZERO_MARKET_2026_2/2026_서울제로마켓_2차_공고.hwpx,HWPX 지원자격,수작업정답_구현전
EX_ZERO_02,POL_SEOUL_ZERO_MARKET_2026_2,공유오피스 주소만 둔 온라인 위탁판매자,부적격,공유오피스주소만=yes;위탁판매=yes,ZERO_EX_02,온라인 사업자 제한조건에 해당,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_ZERO_MARKET_2026_2/2026_서울제로마켓_2차_공고.hwpx,HWPX 부적격대상,수작업정답_구현전
