policy_id,policy_version,policy_name,provider,policy_type,purpose_tags,region_scope,industry_scope,business_age_rule,revenue_rule,employee_rule,credit_or_delinquency_rule,application_start,application_end,budget_exhaustion_rule,application_status_as_of,official_notice_url,attachment_url,application_url,inquiry,effective_from,effective_to,retrieved_at,reviewed_at,source_status,source_path,source_locator,official_small_business_applicability,notes
POL_SEOUL_FUND_2026,2026-05-04-change,2026년도 서울특별시 중소기업육성자금 융자지원 변경계획,서울특별시·서울신용보증재단,융자;이차보전;보증연계,경영안정;시설;창업;취약;재기,서울특별시,서울 소재 중소기업 및 소상공인; 융자제한업종 제외,해당 없음,세부 자금별 상이,소기업·소상공인 기준 또는 세부 자금별 상이,세부 자금별 NICE·피해·재기 조건 상이,2026-01-02,자금소진시,자금 소진 시 마감; 일부 자금 분기별 한도 배분,접수 가능 여부 개별 상담 필요,https://www.seoul.go.kr/news/news_notice.do?nttNo=457365,https://www.seoul.go.kr/news/news_notice.do?nttNo=457365,https://www.seoulshinbo.co.kr,서울신용보증재단 1577-6119,2026-05-04,미확인,2026-08-15,2026-08-15T23:59:00+09:00,공식 첨부문서 확인,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md,본문 1~3절·붙임1,확인,하위 자금별 자격·한도·이차보전율을 별도 금융 이벤트로 분리
POL_SEOUL_CRISIS_TRACK2_2026H2,2026-06-30,2026년 하반기 위기 소상공인 조기발굴 및 선제지원(Track2),서울신용보증재단,보조금;컨설팅,매출감소;재해;경영개선;사업정리,서울특별시,점포형 소상공인; 지원제한업종 제외,개업 후 2년 이상,2024년 대비 2025년 또는 2025년 상반기 대비 하반기 매출 감소; 재해피해는 확인서로 대체,소상공인 기준,재단 구상채권·특수채권·관리종결 상태 제외,2026-07-02 10:00,예산소진시,선착 접수·예산 소진 시 마감,접수 중으로 공고됐으나 현재 잔여예산 재확인 필요,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123842,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000762454&fileSn=1,https://www.seoulsbdc.or.kr,서울신용보증재단 1577-6119,2026-07-02,2026-11-30,2026-08-15,2026-08-15T23:59:00+09:00,공식 첨부문서 확인,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_CRISIS_TRACK2_2026H2/2026_하반기_위기_소상공인_Track2_공고.pdf,PDF 1~7쪽,확인,
POL_SEOUL_CLOSURE_2026,2026-02,2026년 새 길 여는 폐업지원,서울신용보증재단,보조금;컨설팅;교육,폐업;재취업;재창업,서울특별시,폐업 예정 점포형 소상공인; 지원제한업종 제외,개업 후 6개월 이상,소상공인 업종별 평균매출액 기준,소상공인 기준,재단 구상채권·특수채권·관리종결 상태 제외,2026-02-12,예산소진시,예산 소진 시 자동 마감,접수 중으로 공고됐으나 현재 잔여예산 재확인 필요,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119017,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000745140&fileSn=0,https://www.seoulsbdc.or.kr,서울신용보증재단 1577-6119,2026-02-12,2026-11-30,2026-08-15,2026-08-15T23:59:00+09:00,공식 첨부문서 확인,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_CLOSURE_2026/2026_새_길_여는_폐업지원_공고.pdf,PDF 1~6쪽,확인,2026년 10월 이내 폐업 신고 완료 예정자
POL_SEOUL_DIGITAL_MIDLIFE_2026H2,2026-06-30,2026년 하반기 중장년 소상공인 디지털 전환지원,서울신용보증재단,보조금;컨설팅;교육,디지털전환;온라인진출;마케팅,서울특별시,소상공인; 지원제한업종 제외,개업일 2025-07-01 이전,소상공인 업종별 평균매출액 기준,소상공인 기준,재단 구상채권·특수채권·관리종결 상태 제외,2026-07-02 10:00,예산소진시,예산 소진 시 마감,접수 중으로 공고됐으나 현재 잔여예산 재확인 필요,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123844,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000762474&fileSn=1,https://www.seoulsbdc.or.kr,서울신용보증재단 1577-6119,2026-07-02,2027-11-30,2026-08-15,2026-08-15T23:59:00+09:00,공식 첨부문서 확인,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_DIGITAL_MIDLIFE_2026H2/2026_하반기_중장년_디지털전환_공고.pdf,PDF 1~6쪽,확인,대표자 만 40세 이상; 만 50세 이상·취약업종 우대
POL_SEOUL_ZERO_MARKET_2026_2,2026-06-17-2nd,2026년 서울제로마켓 활성화 사업 참여자 2차 모집,서울특별시·서울디자인재단,보조금,제로웨이스트;친환경포장;다회용기,서울특별시,기업·소상공인·단체; 온·오프라인 가능,해당 없음,해당 없음,해당 없음,해당 없음,2026-06-17,모집마감시,63개소 모집 완료 시 마감,접수 중으로 공고됐으나 모집 완료 여부 재확인 필요,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123336,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000760508&fileSn=1,mailto:sup_zero@seouldesign.or.kr,서울디자인재단 02-2153-0426·0423,2026-06-17,미확인,2026-08-15,2026-08-15T23:59:00+09:00,공식 첨부문서 확인,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_ZERO_MARKET_2026_2/2026_서울제로마켓_2차_공고.hwpx,HWPX 공모개요·지원금액·지원방법,확인,
POL_SEOUL_SAFETY_TEST_2026H2,2026-07-23,2026년 하반기 소상공인 안전검사 지원사업,서울특별시·한국건설생활환경시험연구원,보조금,안전검사;생활용품;어린이제품,서울특별시,제조·유통 관련 소상공인,해당 없음,어린이제품은 2025년 연매출 1억400만원 미만,소상공인 기준,국세·지방세 완납,미확인,예산소진시,예산 소진 시 마감,접수 중으로 공고됐으나 잔여예산 재확인 필요,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124676,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000765823&fileSn=1,해당 없음,서울시 02-2133-5375; KCL 02-2102-2565,2026-07-23,미확인,2026-08-15,2026-08-15T23:59:00+09:00,공식 첨부문서 확인,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_SAFETY_TEST_2026H2/2026_서울_소상공인_안전검사_하반기.pdf,PDF 1쪽 포스터·공식 HTML 본문,확인,전화 접수; PDF가 이미지형이라 공식 HTML도 병행 근거로 사용
POL_SEOUL_RESTART_2026,2026-07-16,서울형 다시서기 프로젝트,서울특별시·서울신용보증재단,보조금;보증;이차보전;교육;컨설팅,재기;재창업;채무종결,서울특별시,성실실패·성실상환·재창업 소상공인,해당 없음,해당 없음,소상공인 기준,"신용회복·회생·파산면책 완료, 재단채무 상환완료 등 유형별 조건",2026-07-08,2026-10-30,600명 모집 완료 시 조기마감,접수기간 내; 모집 완료 여부 재확인 필요,https://news.seoul.go.kr/economy/archives/573571,해당 없음,https://www.seoulsbdc.or.kr,서울시 소상공인정책과 02-2133-5549,2026-07-08,2026-10-30,2026-08-15,2026-08-15T23:59:00+09:00,공식 공고 확인,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_RESTART_2026/official_page.html,공식 본문 지원대상·지원내용·신청기간,확인,대출 보증의 보증한도는 공식 현재 페이지에서 미확인
POL_SEMAS_REFINANCE_2026,2026-07-29-change4,2026년 소상공인 정책자금 대환대출,중소벤처기업부·소상공인시장진흥공단,정책자금 융자;대환,고금리대환;만기연장,전국,소상공인; 융자제외업종 제외,해당 없음,해당 없음,소상공인 기준,원칙적으로 NCB 919점 이하; 공고상 예외 유형 존재,2026-01-05,예산소진시,접수 순서 처리·예산 소진 시 마감,세부 자금 접수상태를 접수시스템에서 재확인 필요,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124909,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000766857&fileSn=1,https://ols.semas.or.kr,소상공인통합콜센터 1533-0100 내선 1,2026-07-29,미확인,2026-08-15,2026-08-15T23:59:00+09:00,공식 첨부문서 확인,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_POLICY_LOANS_2026_CHANGE4/2026_소상공인_정책자금_융자사업_4차변경.pdf,PDF 2~5쪽·11~12쪽,확인,
POL_SEMAS_RECHALLENGE_2026,2026-07-29-change4,2026년 소상공인 정책자금 재도전특별자금,중소벤처기업부·소상공인시장진흥공단,정책자금 융자,재창업;채무조정;재기사업화,전국,소상공인; 융자제외업종 제외,유형별 재창업 업력 조건 상이,도약형은 전년 대비 또는 최근 2분기 매출 5% 이상 증가 조건 중 하나,도약형은 고용 증가 또는 2인 이상 조건도 성장요건으로 선택 가능,채무조정·정책자금 성실상환 조건이 유형별 적용,2026-01-12,예산소진시,접수 순서 처리·예산 소진 시 마감,세부 자금 접수상태를 접수시스템에서 재확인 필요,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124909,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000766857&fileSn=1,https://ols.semas.or.kr,소상공인통합콜센터 1533-0100 내선 1,2026-07-29,미확인,2026-08-15,2026-08-15T23:59:00+09:00,공식 첨부문서 확인,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_POLICY_LOANS_2026_CHANGE4/2026_소상공인_정책자금_융자사업_4차변경.pdf,PDF 2~5쪽·13~14쪽,확인,
POL_SEMAS_STABILITY_VOUCHER_2026,2026-01-28,소상공인 경영안정 바우처 지원사업,중소벤처기업부·소상공인시장진흥공단,바우처,고정비;공과금;사회보험;연료비,전국,소상공인; 정책자금 융자제외업종 제외,2025-12-31 이전 개업,2025년 연매출 0원 초과 1억400만원 미만,소상공인 기준,해당 없음,2026-02-09 09:00,2026-12-18 18:00,예산 소진 시 조기마감,접수기간 내; 예산 소진 여부 재확인 필요,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117908,https://www.bizinfo.go.kr/cmm/fms/fileDown.do?atchFileId=FILE_000000000741999&fileSn=0,https://www.sbiz24.kr,경영안정 바우처 1533-0600,2026-02-09,2026-12-31,2026-08-15,2026-08-15T23:59:00+09:00,공식 첨부문서 확인,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_STABILITY_VOUCHER_2026/2026_소상공인_경영안정_바우처_공고.pdf,PDF 1~5쪽,확인,바우처 사용기한은 2026-12-31
