policy_id,policy_version,publication_date,effective_from,effective_to,is_current,change_summary,source_url,source_path
POL_SEOUL_FUND_2026,2026-initial,2025-12,2026-01-02,2026-05-03,no,최초 공고,https://news.seoul.go.kr/economy/rearing-funds,data/raw_re/policy/seoul_fund/2026/2026년 중소기업육성자금 융자지원/경영안정자금_융자대상.md
POL_SEOUL_FUND_2026,2026-05-04-change,2026-05-04,2026-05-04,미확인,yes,융자규모·하위자금 조건 변경 및 중동피해위기대응자금 신설,https://www.seoul.go.kr/news/news_notice.do?nttNo=457365,data/raw_re/policy/seoul_fund/2026/2026년도 서울특별시 중소기업육성자금 융자지원 변경계획 공고/2026년_중소기업육성자금_융자지원_변경계획_공고.md
POL_SEOUL_CRISIS_TRACK2_2026H2,2026-06-30,2026-06-30,2026-07-02,2026-11-30,yes,현재 수집·검수한 공식 버전,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123842,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_CRISIS_TRACK2_2026H2/2026_하반기_위기_소상공인_Track2_공고.pdf
POL_SEOUL_CLOSURE_2026,2026-02,2026-02,2026-02-12,2026-11-30,yes,현재 수집·검수한 공식 버전,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119017,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_CLOSURE_2026/2026_새_길_여는_폐업지원_공고.pdf
POL_SEOUL_DIGITAL_MIDLIFE_2026H2,2026-06-30,2026-06-30,2026-07-02,2027-11-30,yes,현재 수집·검수한 공식 버전,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123844,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_DIGITAL_MIDLIFE_2026H2/2026_하반기_중장년_디지털전환_공고.pdf
POL_SEOUL_ZERO_MARKET_2026_2,2026-06-17-2nd,2026-06-17,2026-06-17,미확인,yes,현재 수집·검수한 공식 버전,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123336,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_ZERO_MARKET_2026_2/2026_서울제로마켓_2차_공고.hwpx
POL_SEOUL_SAFETY_TEST_2026H2,2026-07-23,2026-07-23,2026-07-23,미확인,yes,현재 수집·검수한 공식 버전,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124676,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_SAFETY_TEST_2026H2/2026_서울_소상공인_안전검사_하반기.pdf
POL_SEOUL_RESTART_2026,2026-07-16,2026-07-16,2026-07-08,2026-10-30,yes,현재 수집·검수한 공식 버전,https://news.seoul.go.kr/economy/archives/573571,data/raw_re/policy/selected/2026-08-15/POL_SEOUL_RESTART_2026/official_page.html
POL_SEMAS_REFINANCE_2026,2026-07-29-change4,2026-07-29,2026-07-29,미확인,yes,현재 수집·검수한 공식 버전,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124909,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_POLICY_LOANS_2026_CHANGE4/2026_소상공인_정책자금_융자사업_4차변경.pdf
POL_SEMAS_RECHALLENGE_2026,2026-07-29-change4,2026-07-29,2026-07-29,미확인,yes,현재 수집·검수한 공식 버전,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124909,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_POLICY_LOANS_2026_CHANGE4/2026_소상공인_정책자금_융자사업_4차변경.pdf
POL_SEMAS_STABILITY_VOUCHER_2026,2026-01-28,2026-01-28,2026-02-09,2026-12-31,yes,현재 수집·검수한 공식 버전,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117908,data/raw_re/policy/selected/2026-08-15/POL_SEMAS_STABILITY_VOUCHER_2026/2026_소상공인_경영안정_바우처_공고.pdf
